CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,SVSPP,CATCHSEX,INDID,LENGTH,INDWT,SEX,MATURITY,AGE,AGE_DATA_FLAG,STOM_VOLUME,STOM_WGT,CUTTER,RECORDER,IND_FISH_COMMENTS
197906,979,06270,006,0044,10,197906062700060044,401,,,7.3,,0,,2, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,7.6,,0,,2, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,7.9,,0,,2, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,8.3,,0,,3, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,8.9,,0,,3, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,9.2,,0,,3, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,9.9,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,10.1,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,10.2,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,10.8,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,10.9,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,11,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,11.2,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,11.3,,0,,5, ,,, , , 
197906,979,06240,002,0047,10,197906062400020047,401,,,7.2,,0,,3, ,,, , , 
197906,979,06240,002,0047,10,197906062400020047,401,,,7.5,,0,,3, ,,, , , 
197906,979,06240,002,0047,10,197906062400020047,401,,,7.5,,0,,3, ,,, , , 
197906,979,06240,002,0047,10,197906062400020047,401,,,7.5,,0,,3, ,,, , , 
197906,979,06240,002,0047,10,197906062400020047,401,,,9,,0,,4, ,,, , , 
